Kantone,Wahljahr,Wahlbeteiligung,FDP,CVP,SP,SVP,LPS,EVP,PdA,GPS,GLP,BDP,LDU,FPS,Andere
Aargau,1973,49.5,19.3,23.9,22.2,14.5,0.0,4.8,0.0,0.0,0.0,0.0,5.2,0.0,0.0
Aargau,1977,51.3,21.0,23.2,24.6,14.5,0.0,5.1,0.0,0.0,0.0,0.0,5.4,0.0,0.0
Aargau,1981,39.5,22.4,24.6,24.1,16.9,0.0,5.5,0.0,0.0,0.0,0.0,3.8,0.0,0.0
Aargau,1985,39.1,23.7,23.3,20.5,15.9,0.0,4.4,0.0,0.0,0.0,0.0,3.6,0.0,0.0
Aargau,1989,35.7,20.2,20.7,17.7,15.6,0.0,4.7,0.0,6.5,0.0,0.0,3.0,7.6,0.0
Aargau,1993,45.0,19.6,17.8,19.9,17.1,0.0,4.8,0.0,4.4,0.0,0.0,2.9,9.5,0.0
Aargau,1997,31.7,19.6,17.3,21.7,21.9,0.0,4.3,0.0,3.5,0.0,0.0,1.4,4.5,0.0
Aargau,2001,42.0,19.0,15.0,18.6,33.5,0.0,4.9,0.0,4.0,0.0,0.0,0.0,2.0,0.0
Aargau,2005,33.2,16.9,17.5,19.7,30.3,0.0,5.7,0.0,6.7,0.0,0.0,0.0,0.4,0.0
Aargau,2009,31.7,14.3,15.0,15.7,31.9,0.0,4.5,0.0,8.9,3.5,3.1,0.0,0.0,0.0
Aargau,2012,31.9,15.4,13.3,15.2,32.0,0.0,3.9,0.0,7.4,5.5,4.4,0.0,0.0,0.0
Aargau,2016,32.8,16.0,12.1,18.9,31.9,0.0,4.0,0.0,7.1,5.3,2.7,0.0,0.0,0.0
Aargau,2020,33.0,14.8,12.8,16.3,30.1,0.0,4.2,0.0,9.8,9.2,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,2011,36.2,33.8,4.2,11.0,17.2,0.0,2.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0
Appenzell A. Rh.,2015,36.1,35.5,6.0,11.5,16.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
